"","kegg_id"
"1","C00262"
"2","C02261"
"3","C00219"
"4","C01103"
"5","C07481"
"6","C00262"
"7","C02261"
"8","C00219"
"9","C01103"
"10","C07481"
"11","C00246|C02632"
"12","C00186"
"13","C00262"
"14","C02261"
"15","C00219"
"16","C01103"
"17","C07481"
"18","C11457"
"19","C00064"
"20","C03626"
"21","C00062"
"22","C16488"
"23","C05122"
"24","C08261"
"25","C03793"
"26","C00791"
"27","C04545"
"28","C08283"
"29","C00078"
"30","C00073"
"31","C00408"
"32","C00082"
"33","C00037"
"34","C05852"
"35","C00262"
"36","C02261"
"37","C00219"
"38","C01103"
"39","C07481"
"40","C08283"
"41","C00082"
"42","C00079"
"43","C01152"
"44","C00047"
"45","C06429"
"46","C00106"
"47"," C01152"
"48","C00318"
"49","C04230"
"50","C05122"
"51","C00064"
"52","C03626"
"53","C00062"
"54","C16488"
"55","C05122"
"56","C08261"
"57","C00246|C02632"
"58","C00186"
"59","C00262"
"60","C02261"
"61","C00219"
"62","C01103"
"63","C07481"
"64","C10172"
"65","C00491"
"66","C06428"
"67","C00628"
"68","C08322"
"69","C01921"
"70","C13910"
"71","C00500"
"72","C00114"
"73","C01157"
"74","C00183"
"75","C16535"
"76","C16366"
"77","C02838"
"78","C03882"
"79","C00791"
"80","C04545"
"81","C00078"
"82","C00073"
"83","C00408"
"84","C00037"
"85","C05852"
