Timestamp (UTC),Time Zone
2015-05-20 18:43:50.617000,America/Los_Angeles
2015-06-26 04:05:10.515000,America/New_York
2015-06-27 01:20:52.539000,America/Los_Angeles
2015-07-04 13:52:08.838000,Europe/Berlin
2015-07-22 16:49:38.018000,America/Los_Angeles
2015-07-30 17:34:27.464000,America/Denver
2015-08-01 06:49:33.309000,America/Los_Angeles
2015-08-04 06:07:06.965000,America/Edmonton
2015-08-06 00:14:17.130000,America/Los_Angeles
2015-08-27 19:49:58.031000,America/Indiana/Indianapolis
2015-08-27 20:04:35.764000,America/New_York
2015-08-29 22:54:42.403000,America/Los_Angeles
2015-09-02 16:20:09.099000,Europe/Zurich
2015-09-04 20:22:20.652000,America/Los_Angeles
2015-09-11 10:25:34.867000,Europe/Berlin
2015-09-12 23:28:13.489000,America/Los_Angeles
2015-10-03 04:14:42.650000,America/New_York
2015-10-03 11:19:22.133000,America/Chicago
2015-10-05 11:21:06.944000,America/New_York
2015-10-12 20:49:49.080000,America/Los_Angeles
2015-10-29 23:09:06.063000,Europe/Paris
2015-10-30 20:53:12.646000,America/Los_Angeles
2015-11-16 11:32:18.205000,Europe/Berlin
2015-11-21 01:02:03.675000,America/Los_Angeles
2015-12-01 11:34:35.795000,America/New_York
2015-12-12 08:07:44.961000,America/Los_Angeles
2015-12-25 03:25:57.603000,America/New_York
2016-01-03 04:26:49.028000,America/Los_Angeles
2016-02-05 07:05:35.886000,America/Denver
2016-02-05 19:23:20.148000,America/Los_Angeles
2016-02-08 07:02:52.874000,America/Edmonton
2016-02-14 08:02:45.234000,America/Los_Angeles
2016-02-25 18:01:50.486000,America/Denver
2016-02-27 22:14:26.836000,America/Chicago
2016-03-03 00:38:11.954000,America/Los_Angeles
2016-03-13 18:40:33.402787,America/New_York
2016-03-17 07:02:44.258399,America/Los_Angeles
2016-03-19 09:44:29.877807,America/New_York
2016-03-19 09:44:39.249306,America/Detroit
2016-03-21 07:06:14.463150,America/Los_Angeles
2016-03-31 04:02:03.958377,America/New_York
2016-04-09 05:37:04.599914,Europe/Berlin
2016-04-09 09:44:47.165880,Europe/Madrid
2016-04-11 10:29:59.540578,Europe/Berlin
2016-04-11 22:53:18.406536,America/Los_Angeles
2016-04-15 19:30:43.538803,America/Chicago
2016-04-16 22:41:37.721707,America/Los_Angeles
2016-04-20 01:51:53.650822,America/Chicago
2016-04-21 08:51:53.304319,America/Los_Angeles
2016-04-26 02:32:03.932218,America/New_York
2016-04-27 02:08:56.681850,America/Los_Angeles
2016-05-10 10:06:43.175618,America/Chicago
2016-05-10 13:34:38.352648,America/New_York
2016-05-14 04:48:27.575207,America/Los_Angeles
2016-05-17 12:55:45.343910,Europe/Berlin
2016-05-22 19:51:11.884843,America/New_York
2016-05-24 00:40:53.229950,America/Los_Angeles
2016-05-29 12:33:12.056590,Europe/Berlin
2016-05-31 13:52:50.659210,Europe/Stockholm
2016-06-04 23:23:30.389424,America/Los_Angeles
2016-06-21 10:13:44.255055,America/New_York
2016-06-25 08:12:01.198418,America/Los_Angeles
2016-07-13 11:18:21.018331,America/New_York
2016-07-17 22:30:27.059669,America/Chicago
2016-07-18 02:33:00.237813,America/Los_Angeles
2016-08-01 02:22:10.839805,America/New_York
2016-08-04 03:50:30.119236,America/Los_Angeles
2016-08-10 16:04:05.696029,Asia/Shanghai
2016-08-19 14:57:15.737794,America/Los_Angeles
2016-08-30 11:10:30.969185,Europe/Copenhagen
2016-08-31 22:08:43.463419,Europe/Stockholm
2016-09-02 21:50:29.163855,America/Los_Angeles
2016-09-08 03:38:43.817362,America/Chicago
2016-09-10 01:10:45.977957,America/Los_Angeles
2016-09-15 22:29:21.945565,America/New_York
2016-09-17 05:30:40.606638,Asia/Tokyo
2016-09-17 16:05:34.534793,Asia/Taipei
2016-09-21 13:46:02.287127,America/Los_Angeles
2016-09-27 09:48:16.305065,America/New_York
2016-09-30 00:26:14.292066,America/Los_Angeles
2016-10-11 04:01:08.278202,America/New_York
2016-10-14 05:05:48.622083,America/Chicago
2016-10-15 07:00:41.676955,America/Los_Angeles
2016-10-16 18:13:40.795147,America/Chicago
2016-10-16 23:14:35.516034,America/New_York
2016-10-19 04:32:11.855588,America/Los_Angeles
2016-10-21 05:32:55.461718,America/Vancouver
2016-10-22 18:31:10.911895,America/Los_Angeles
2016-10-26 01:41:52.872094,America/New_York
2016-10-27 04:15:19.326802,America/Los_Angeles
2016-11-04 07:47:00.017058,Europe/Zurich
2016-11-10 00:50:42.220200,America/Los_Angeles
2016-11-17 05:00:33.150791,America/New_York
2016-11-18 01:41:17.664183,America/Los_Angeles
2016-12-08 02:49:22.858985,America/New_York
2016-12-10 18:36:41.577040,Asia/Kolkata
2016-12-17 18:37:37.423685,America/Los_Angeles
2016-12-22 21:30:13.757505,America/Denver
2016-12-23 04:06:41.089154,America/New_York
